"","theme","date","count"
"137","rai_idx_hp",2013-09-01,1
"138","rai_idx_hp",2014-03-01,1
"139","rai_idx_hp",2014-08-01,1
"140","rai_idx_hp",2014-09-01,1
"141","rai_idx_hp",2015-01-01,1
"142","rai_idx_hp",2015-06-01,1
"143","rai_idx_hp",2015-09-01,1
"144","rai_idx_hp",2015-10-01,2
"145","rai_idx_hp",2016-07-01,1
"146","rai_idx_hp",2017-02-01,1
"147","rai_idx_hp",2017-06-01,1
"148","rai_idx_hp",2017-11-01,1
"149","rai_idx_hp",2018-02-01,1
"150","rai_idx_hp",2018-04-01,1
"151","rai_idx_hp",2019-02-01,1
"152","rai_idx_hp",2019-09-01,1
"153","rai_idx_hp",2020-01-01,1
"154","rai_idx_hp",2020-07-01,1
"155","rai_idx_hp",2020-12-01,1
"156","rai_idx_hp",2021-08-01,2
"157","rai_idx_hp",2021-09-01,2
"158","rai_idx_hp",2021-10-01,1
"159","rai_idx_hp",2021-12-01,3
"160","rai_idx_hp",2022-01-01,3
"161","rai_idx_hp",2022-02-01,2
"162","rai_idx_hp",2022-03-01,1
"163","rai_idx_hp",2022-04-01,7
"164","rai_idx_hp",2022-05-01,3
"165","rai_idx_hp",2022-06-01,1
"166","rai_idx_hp",2022-07-01,1
"167","rai_idx_hp",2023-01-01,1
"168","rai_idx_hp",2024-02-01,1
"169","rai_idx_hp",2024-04-01,1
"170","rai_idx_hp",2024-06-01,1
"171","rai_idx_hp",2024-07-01,3
"172","rai_idx_hp",NA,5
"173","rai_idx_sp",2012-06-01,1
"174","rai_idx_sp",2012-08-01,1
"175","rai_idx_sp",2012-09-01,1
"176","rai_idx_sp",2012-11-01,2
"177","rai_idx_sp",2013-06-01,2
"178","rai_idx_sp",2013-10-01,4
"179","rai_idx_sp",2013-12-01,2
"180","rai_idx_sp",2014-02-01,1
"181","rai_idx_sp",2014-05-01,2
"182","rai_idx_sp",2014-07-01,1
"183","rai_idx_sp",2014-08-01,1
"184","rai_idx_sp",2014-10-01,1
"185","rai_idx_sp",2015-09-01,1
"186","rai_idx_sp",2016-01-01,1
"187","rai_idx_sp",2016-10-01,1
"188","rai_idx_sp",2017-10-01,2
"189","rai_idx_sp",2017-11-01,1
"190","rai_idx_sp",2017-12-01,1
"191","rai_idx_sp",2018-02-01,1
"192","rai_idx_sp",2018-03-01,1
"193","rai_idx_sp",2018-08-01,2
"194","rai_idx_sp",2019-06-01,2
"195","rai_idx_sp",2019-10-01,1
"196","rai_idx_sp",2019-11-01,1
"197","rai_idx_sp",2021-08-01,1
"198","rai_idx_sp",2021-09-01,1
"199","rai_idx_sp",2022-02-01,2
"200","rai_idx_sp",2022-03-01,1
"201","rai_idx_sp",2022-04-01,1
"202","rai_idx_sp",2022-05-01,3
"203","rai_idx_sp",2022-06-01,2
"204","rai_idx_sp",2022-07-01,1
"205","rai_idx_sp",2022-11-01,1
"206","rai_idx_sp",2022-12-01,1
"207","rai_idx_sp",2023-03-01,1
"208","rai_idx_sp",2023-04-01,2
"209","rai_idx_sp",2023-10-01,1
"210","rai_idx_sp",2023-11-01,1
"211","rai_idx_sp",2023-12-01,1
"212","rai_idx_sp",2024-03-01,1
"213","rai_idx_sp",2024-06-01,3
"214","rai_idx_sp",NA,4
