ccode1,IdealPointDistance_UKO,IdealPointDistance_FRA,IdealPointDistance_RUS,IdealPointDistance_CHN,IdealPointDistance_USA
20,0.27736325,0.09620375000000006,1.286745325,1.820292775,1.27598725
31,2.001893625,1.820734125,0.43778505,0.17414325,3.000517625
40,3.37954225,3.19838275,1.815433675,1.281886225,4.37816625
41,1.60383366,1.42267416,0.145030835,0.493822365,2.60245766
42,2.059345625,1.878186125,0.49523705,0.1736579,3.057969625
51,2.141021025,1.959861525,0.57691245,0.0966931,3.139645025
52,2.2217281,2.0405686,0.657619525,0.154551575,3.2203521
53,1.9738763,1.7927168,0.409767725,0.156030025,2.9725003
54,2.11942605,1.93826655,0.555317475,0.131564725,3.11805005
55,2.20367715,2.02251765,0.639568575,0.141315725,3.2023011500000003
56,2.153487,1.9723275,0.589378425,0.10827887499999997,3.152111
57,2.30370025,2.1225407499999998,0.739591675,0.20604422500000003,3.30232425
58,2.113064075,1.931904575,0.5489554999999999,0.14967519999999998,3.111688075
60,2.13048005,1.94932055,0.566371475,0.107594525,3.12910405
70,1.66664038675,1.48548088675,0.10253181175000001,0.43101563825,2.6652643867499997
80,1.995883175,1.814723675,0.4317746,0.15246265,2.994507175
90,1.5496626199999999,1.36850312,0.054405095,0.5479934049999999,2.54828662
91,1.5488881425,1.3677286425,0.0321849025,0.5487678825,2.5475121425
92,2.093251425,1.912091925,0.52914285,0.07880275,3.091875425
93,3.1300007499999998,2.94884125,1.565892175,1.032344725,4.12862475
94,1.82306805,1.6419085500000001,0.258959475,0.274587975,2.82169205
95,1.71819854925,1.5370390492500001,0.15408997425,0.37945747575,2.7168225492499998
100,1.7046762549999999,1.523516755,0.142321435,0.39297977,2.7033002550000003
101,3.2747384999999998,3.093579,1.710629925,1.177082475,4.2733625
110,1.986422175,1.805262675,0.42231359999999996,0.27953890000000003,2.985046175
115,2.244562425,2.063402925,0.68045385,0.14690640000000002,3.243186425
130,2.2567574500000003,2.07559795,0.692648875,0.211521725,3.25538145
135,1.817286425,1.6361269250000001,0.25317785,0.2803696,2.815910425
140,1.58594947,1.40478997,0.248744695,0.511706555,2.58457347
145,2.822376075,2.641216575,1.2582675,0.72472005,3.8210000749999997
150,1.8029757849999999,1.621816285,0.23886721,0.29468024000000004,2.801599785
155,1.874654025,1.693494525,0.31054545,0.223002,2.873278025
160,1.72716502,1.54600552,0.163056445,0.370491005,2.72578902
165,1.985591895,1.804432395,0.42148332,0.19763558,2.984215895
205,0.9335321,0.7523726000000001,0.630576475,1.164123925,1.9321561
210,0.5662287500000001,0.38506925,0.997879825,1.531427275,1.56485275
211,0.60538225,0.42422275,0.958726325,1.492273775,1.60400625
212,0.6265837000000001,0.4454242,0.937524875,1.471072325,1.6252077
221,0.62608185,0.44492235,0.938026725,1.471574175,1.62470585
223,0.948025175,0.766865675,0.6160834,1.1496308499999999,1.946649175
225,0.937812775,0.756653275,0.6262958,1.15984325,1.936436775
230,0.6350417,0.4538822,0.929066875,1.462614325,1.6336656999999999
232,0.894559925,0.713400425,0.66954865,1.2030961,1.893183925
235,0.663011,0.4818515,0.901097575,1.434645025,1.661635
255,0.441037,0.2598775,1.123071575,1.656619025,1.439661
290,0.480665,0.2995055,1.083443575,1.616991025,1.479289
305,0.8934323,0.7122728,0.6706762749999999,1.204223725,1.8920563000000001
310,0.4185915,0.237432,1.1455170749999999,1.679064525,1.4172155
316,0.37792824999999997,0.19676875,1.186180325,1.719727775,1.37655225
317,0.54537225,0.36421275000000003,1.0187363249999999,1.552283775,1.54399625
325,0.62421035,0.44305085,0.9398982250000001,1.473445675,1.62283435
331,0.9374796,0.7563200999999999,0.626628975,1.160176425,1.9361036
338,0.963192475,0.782032975,0.6009161000000001,1.13446355,1.961816475
339,0.5781405,0.39698100000000003,0.9859680749999999,1.519515525,1.5767645
341,0.6325444,0.4513849,0.931564175,1.465111625,1.6311684
343,0.699851125,0.518691625,0.86425745,1.3978049,1.6984751249999999
344,0.56854825,0.38738875,0.995560325,1.529107775,1.56717225
345,1.214547425,1.033387925,0.34956115,0.8831086,2.213171425
346,0.9279011500000001,0.74674165,0.636207425,1.169754875,1.92652515
349,0.5992992500000001,0.41813975000000003,0.964809325,1.498356775,1.59792325
350,0.716501075,0.535341575,0.8476075,1.38115495,1.715125075
352,0.987463925,0.806304425,0.57664465,1.1101921,1.9860879249999999
355,0.582332875,0.401173375,0.9817757,1.51532315,1.580956875
359,0.95362955,0.77247005,0.6104790250000001,1.144026475,1.95225355
360,0.528981,0.3478215,1.035127575,1.5686750250000001,1.527605
366,0.5038415,0.322682,1.060267075,1.593814525,1.5024655
367,0.50473625,0.32357674999999997,1.059372325,1.592919775,1.50336025
368,0.46579875,0.28463925,1.098309825,1.631857275,1.46442275
369,0.51426175,0.33310225,1.049846825,1.583394275,1.5128857500000001
370,1.8951071750000001,1.713947675,0.3309986,0.20254885,2.893731175
371,1.491168,1.3100085,0.072940575,0.606488025,2.489792
372,0.74748265,0.56632315,0.816625925,1.350173375,1.74610665
373,2.406108475,2.224948975,0.8419999,0.30845245,3.404732475
375,0.749699475,0.568539975,0.8144091,1.34795655,1.7483234749999998
380,0.8188892999999999,0.6377298,0.745219275,1.278766725,1.8175132999999999
385,0.7054439,0.5242844,0.858664675,1.392212125,1.7040679
390,0.50904075,0.32788125,1.055067825,1.588615275,1.50766475
395,0.7224847,0.5413252,0.841623875,1.375171325,1.7211087
402,2.04252305,1.86136355,0.478414475,0.144945275,3.04114705
403,2.10269855,1.92153905,0.538589975,0.141513825,3.10132255
404,2.1900859500000003,2.00892645,0.625977375,0.108901525,3.18870995
411,2.12722375,1.94606425,0.563115175,0.112867725,3.12584775
420,2.193050375,2.011890875,0.6289418,0.13917914999999997,3.191674375
432,1.83349905,1.65233955,0.269390475,0.264156975,2.83212305
433,2.1493409999999997,1.9681815,0.585232425,0.14313862499999996,3.147965
434,2.1407229,1.9595634,0.576614325,0.144216675,3.1393469
435,2.411256325,2.230096825,0.84714775,0.3136003,3.409880325
436,2.2250209499999998,2.04386145,0.660912375,0.249787725,3.2236449499999997
437,1.8718548075,1.6906953075,0.3077462325,0.2495465175,2.8704788075
438,2.35386295,2.1727034499999998,0.789754375,0.279796875,3.35248695
439,2.1886115999999998,2.0074521,0.624503025,0.12275667499999997,3.1872356
450,1.5283712249999999,1.347211725,0.2100878,0.5692848,2.5269952250000003
451,2.2525199249999996,2.071360425,0.68841135,0.1548639,3.251143925
