ccode1,IdealPointDistance_UKO,IdealPointDistance_FRA,IdealPointDistance_RUS,IdealPointDistance_CHN,IdealPointDistance_USA
452,1.953632325,1.772472825,0.38952375,0.16317399999999996,2.952256325
461,1.6751375125,1.4939780125,0.11102893750000001,0.4225185125,2.6737615125
471,1.6271468925,1.4459873925,0.0630383175,0.4705091325,2.6257708925
475,2.058765525,1.877606025,0.49465695,0.12995004999999998,3.0573895249999996
481,2.1415529749999997,1.960393475,0.5774444,0.14226244999999996,3.140176975
482,1.72543260355,1.5442731035500001,0.16132402855,0.37222342145,2.7240566035500002
483,2.2604445,2.079285,0.696335925,0.172366375,3.2590684999999997
484,2.32823235,2.14707285,0.764123775,0.23057632500000003,3.32685635
490,2.004658225,1.823498725,0.44054965,0.24088915,3.003282225
500,2.563308575,2.382149075,0.9992,0.46565255,3.561932575
501,2.301663575,2.120504075,0.737555,0.20400755000000004,3.300287575
510,2.35914455,2.17798505,0.795035975,0.261488525,3.3577685500000003
516,2.9298657500000003,2.74870625,1.365757175,0.832209725,3.92848975
517,1.7836776374999999,1.6025181375,0.2195690625,0.3139783875,2.7823016375
520,2.2449282,2.0637687000000002,0.680819625,0.14727217500000003,3.2435522
522,2.164294425,1.9831349249999999,0.60018585,0.13236665000000003,3.162918425
530,2.121506325,1.940346825,0.55739775,0.10413214999999997,3.120130325
531,2.388270475,2.207110975,0.8241619,0.29061444999999997,3.386894475
540,2.210417725,2.029258225,0.64630915,0.15245109999999998,3.209041725
541,2.286131075,2.104971575,0.7220225,0.22222649999999997,3.284755075
551,2.282574975,2.101415475,0.7184664000000001,0.18491895,3.281198975
552,2.711318475,2.530158975,1.1472099,0.67157225,3.709942475
553,1.993516,1.8123565,0.429407425,0.202755725,2.99214
560,2.0496468500000002,1.86848735,0.485538275,0.094688525,3.0482708499999998
565,2.2907631,2.1096036,0.726654525,0.19310707500000002,3.2893871
570,2.096343925,1.915184425,0.53223535,0.18487875,3.094967925
571,2.0101686,1.8290091,0.446060025,0.117967725,3.0087926
572,2.047038325,1.865878825,0.48292975,0.24213304999999996,3.045662325
580,2.128418175,1.947258675,0.5643096,0.2552359,3.127042175
581,2.22328205,2.04212255,0.659173475,0.217071275,3.22190605
590,2.2196202,2.0384607,0.6555116249999999,0.136963325,3.2182442
591,2.0607393750000003,1.8795798750000001,0.49663080000000004,0.09549355,3.0593633749999998
600,2.1785692,1.9974097,0.614460625,0.105891875,3.1771932
615,2.6641553499999997,2.48299585,1.100046775,0.566499325,3.66277935
616,2.320858425,2.1396989250000003,0.7567498500000001,0.22320240000000002,3.319482425
620,2.3382492,2.1570897,0.774140625,0.242851925,3.3368732
625,2.8137845,2.632625,1.249675925,0.716128475,3.8124085
626,1.502425685,1.321266185,0.24918611,0.59523034,2.501049685
630,3.38849875,3.20733925,1.824390175,1.290842725,4.38712275
640,1.0396093,0.8584498,0.524499275,1.058046725,2.0382333
645,2.52661075,2.34545125,0.962502175,0.428954725,3.52523475
651,2.7518017500000003,2.5706422499999997,1.187693175,0.654145725,3.75042575
652,3.53705525,3.35589575,1.972946675,1.4393992249999998,4.53567925
660,2.7008258,2.5196663,1.136717225,0.603169775,3.6994498
663,2.331044475,2.149884975,0.7669359,0.23338845,3.329668475
666,0.8586715,1.039831,2.422780075,2.956327525,0.1399525
670,2.2452059,2.0640464,0.681097325,0.14754987500000002,3.2438298999999997
679,2.3474722,2.1663126999999998,0.783363625,0.24981617500000003,3.3460962
690,2.44487615,2.26371665,0.880767575,0.347220125,3.44350015
692,2.239049975,2.0578904749999998,0.6749414,0.14856184999999997,3.237673975
694,2.3482358249999997,2.167076325,0.78412725,0.2505798,3.346859825
696,2.247291125,2.066131625,0.6831825499999999,0.14963510000000002,3.245915125
698,2.6185898499999998,2.43743035,1.054481275,0.520933825,3.6172138499999997
700,2.41352165,2.23236215,0.849413075,0.315865625,3.4121456500000003
701,2.456070925,2.274911425,0.89196235,0.3584149,3.454694925
702,2.2540788,2.0729193,0.689970225,0.17859867499999998,3.2527028
703,2.36710285,2.18594335,0.802994275,0.269446825,3.3657268499999997
704,2.0679531,1.8867936,0.503844525,0.07941192500000001,3.0665771
705,2.1808094,1.9996498999999999,0.616700825,0.143354825,3.1794333999999997
712,2.20180905,2.02064955,0.637700475,0.10415302500000001,3.20043305
731,1.9717526,1.7905931000000002,0.40764402499999997,0.200311025,2.9703766
732,0.7613985750000001,0.5802390749999999,0.80271,1.33625745,1.760022575
740,0.978697175,0.797537675,0.5854114,1.11895885,1.977321175
750,1.852603325,1.671443825,0.28849475,0.24505269999999998,2.851227325
760,2.221575875,2.040416375,0.6574673,0.14597865,3.220199875
770,1.865886325,1.684726825,0.30177775,0.2317697,2.864510325
771,2.3003759749999997,2.119216475,0.7362674,0.20271995,3.298999975
775,2.43461235,2.25345285,0.870503775,0.336956325,3.43323635
780,2.3349624,2.1538029,0.770853825,0.23730637499999999,3.3335863999999997
781,2.1889437000000003,2.0077842,0.624835125,0.150370875,3.1875677
790,2.2962813,2.1151218,0.732172725,0.198625275,3.2949053
800,2.092096975,1.9109374749999999,0.5279884,0.1824001,3.090720975
811,2.8109605,2.629801,1.246851925,0.713304475,3.8095845
812,2.645162175,2.464002675,1.0810536,0.54750615,3.643786175
816,2.503928825,2.322769325,0.93982025,0.4062728,3.502552825
820,2.363303325,2.182143825,0.79919475,0.2656473,3.361927325
830,2.152180825,1.971021325,0.58807225,0.20065955000000002,3.150804825
835,2.527839225,2.346679725,0.96373065,0.4301832,3.526463225
840,2.154266475,1.973106975,0.5901579,0.2019678,3.152890475
850,2.62439535,2.4432358499999998,1.060286775,0.526739325,3.62301935
860,2.0205577999999997,1.8393983,0.456449225,0.120029875,3.0191818
900,0.28830525,0.1071457500000001,1.275803325,1.809350775,1.28692925
910,1.57121322,1.39005372,0.12334609499999999,0.526442805,2.56983722
920,0.959743725,0.778584225,0.60436485,1.1379123,1.958367725
935,1.6834644575,1.5023049575,0.1286707825,0.41419156749999997,2.6820884575
940,1.5824551375,1.4012956375,0.1237367425,0.5152008875,2.5810791374999997
946,1.66365477575,1.48249527575,0.29145510075,0.47741859925,2.66227877575
947,1.612655025,1.431495525,0.0746904,0.485001,2.611279025
950,1.7834106525000002,1.6022511525,0.2193020775,0.3446898725,2.7820346525
955,1.547425895,1.366266395,0.04504897,0.55023013,2.546049895
970,1.266700875,1.085541375,0.2974077,0.83095515,2.265324875
983,0.7391727,0.5580132,0.824935875,1.358483325,1.7377967
986,1.322479725,1.141320225,0.24162885,0.7751763,2.321103725
987,0.229684,0.05105749999999998,1.334424575,1.867972025,1.228308
990,1.6653188375,1.4841593375,0.10121026250000001,0.4323371875,2.6639428375
