reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,imp_rank_seccode_5yr,imp_rank_seccode_5yr,imp_sum_seccode_5yr,exp_sum_seccode_5yr
alb,Albania,rus,Russian Federation,99,NA,17,42,276085188,2876409
alb,Albania,rus,Russian Federation,02,Vegetable products,56,125,145969706,0
alb,Albania,rus,Russian Federation,05,Mineral products,90,113,71064515,0
alb,Albania,rus,Russian Federation,15,Base metals and articles of base metal,98,114,14424324,0
alb,Albania,rus,Russian Federation,06,Product of the chemicals or allied industries,109,113,19724076,0
alb,Albania,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,103,1524622,0
alb,Albania,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",97,105,751395,0
alb,Albania,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",133,125,272935,0
alb,Albania,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",125,113,157731,0
alb,Albania,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",111,114,437487,0
alb,Albania,rus,Russian Federation,20,Miscellaneous manufactured articles,143,75,0,116041
dza,Algeria,rus,Russian Federation,05,Mineral products,73,89,273605217,34346
dza,Algeria,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,9,78,373311108,2728
dza,Algeria,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",19,72,209158481,1393863
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,45,114,623567635,0
dza,Algeria,rus,Russian Federation,02,Vegetable products,69,77,79301752,11739975
dza,Algeria,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",79,93,9388776,1141
dza,Algeria,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",72,114,6586287,0
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,101,113,29410167,0
dza,Algeria,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",33,80,197681102,1171221
dza,Algeria,rus,Russian Federation,11,Textile and textile articles,64,124,2196612,0
dza,Algeria,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",104,105,418087,0
dza,Algeria,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",87,114,2899697,18887
dza,Algeria,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",97,103,167088,0
dza,Algeria,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",77,101,1307182,1001
dza,Algeria,rus,Russian Federation,01,Live animals and animal products,119,113,2715,0
dza,Algeria,rus,Russian Federation,20,Miscellaneous manufactured articles,112,112,23076,0
and,Andorra,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",61,82,125732,313
and,Andorra,rus,Russian Federation,11,Textile and textile articles,105,82,34308,209222
and,Andorra,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",128,127,86495,0
and,Andorra,rus,Russian Federation,99,NA,95,98,15890,0
and,Andorra,rus,Russian Federation,20,Miscellaneous manufactured articles,117,95,15149,2744
and,Andorra,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",136,103,1015,0
and,Andorra,rus,Russian Federation,15,Base metals and articles of base metal,145,114,1739,0
and,Andorra,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",145,105,534,162
and,Andorra,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",144,103,112,630
and,Andorra,rus,Russian Federation,06,Product of the chemicals or allied industries,152,91,190,124083
