reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,imp_rank_seccode_5yr,imp_rank_seccode_5yr,imp_sum_seccode_5yr,exp_sum_seccode_5yr
and,Andorra,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",143,115,22411,4399
and,Andorra,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",97,78,0,1093
and,Andorra,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",124,71,0,48562
and,Andorra,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",104,65,1449,109562
ago,Angola,rus,Russian Federation,99,NA,15,95,397198325,368
ago,Angola,rus,Russian Federation,05,Mineral products,80,100,198616092,1137
ago,Angola,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",60,74,37053750,3608175
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,98,93,37878411,118044
ago,Angola,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",80,87,4851979,125334
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,106,84,6336604,248598
ago,Angola,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",86,95,2319460,16379
ago,Angola,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",70,87,17541402,3922
ago,Angola,rus,Russian Federation,01,Live animals and animal products,66,87,4025428,43170
ago,Angola,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",78,64,1172617,1476259
ago,Angola,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",72,85,1301853,9563
ago,Angola,rus,Russian Federation,11,Textile and textile articles,81,97,284196,23928
ago,Angola,rus,Russian Federation,20,Miscellaneous manufactured articles,65,76,1081141,94621
ago,Angola,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",60,88,69442,1010
ago,Angola,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",73,84,3682,216
ago,Angola,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",77,85,13026,7036
ago,Angola,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",120,86,40217,5458
arg,Argentina,rus,Russian Federation,05,Mineral products,63,77,669244581,197520
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,34,63,755580252,27700119
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,81,73,75589136,2921321
arg,Argentina,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",46,62,66731895,9007693
arg,Argentina,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",56,60,45676046,24810863
arg,Argentina,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",64,80,27751353,20096
arg,Argentina,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",69,71,8992599,1471095
arg,Argentina,rus,Russian Federation,02,Vegetable products,117,17,1248460,842105380
arg,Argentina,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",62,63,5652506,2654460
arg,Argentina,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",99,39,900658,186220573
arg,Argentina,rus,Russian Federation,20,Miscellaneous manufactured articles,66,74,1066294,123211
arg,Argentina,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",91,105,1319506,0
arg,Argentina,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",80,81,649326,25070
arg,Argentina,rus,Russian Federation,11,Textile and textile articles,57,80,3163133,280177
arg,Argentina,rus,Russian Federation,99,NA,108,14,3220,286454469
arg,Argentina,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",87,98,7183,50
arg,Argentina,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",92,46,2077,1489296
arg,Argentina,rus,Russian Federation,01,Live animals and animal products,131,5,0,1628596854
arg,Argentina,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,110,32,0,4951715
arm,Armenia,rus,Russian Federation,05,Mineral products,42,41,2464299083,34643585
arm,Armenia,rus,Russian Federation,02,Vegetable products,22,30,474337604,350549652
arm,Armenia,rus,Russian Federation,15,Base metals and articles of base metal,43,52,656697030,48037326
arm,Armenia,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",19,6,234964716,281151191
arm,Armenia,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,16,60,188463618,54648
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",8,11,618427206,1157387138
arm,Armenia,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",25,56,140860344,11975429
arm,Armenia,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",16,55,514521210,96062308
arm,Armenia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",13,30,132158056,37202230
arm,Armenia,rus,Russian Federation,11,Textile and textile articles,9,17,71482300,420061507
arm,Armenia,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",30,54,171842545,20099403
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,54,46,317241161,78512007
arm,Armenia,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",39,45,94121420,1214235
arm,Armenia,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",17,35,40118159,80003327
arm,Armenia,rus,Russian Federation,20,Miscellaneous manufactured articles,9,31,72716118,79260744
arm,Armenia,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",35,57,93774917,1388829
arm,Armenia,rus,Russian Federation,01,Live animals and animal products,27,20,74413015,183126853
arm,Armenia,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",4,38,10506555,12959174
arm,Armenia,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",24,19,3994025,33858458
arm,Armenia,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",35,66,232914,4081
arm,Armenia,rus,Russian Federation,99,NA,31,39,24069448,4244782
aus,Australia,rus,Russian Federation,05,Mineral products,66,67,542034751,673401
aus,Australia,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",30,99,176830456,75
aus,Australia,rus,Russian Federation,06,Product of the chemicals or allied industries,61,47,250035686,75483588
aus,Australia,rus,Russian Federation,15,Base metals and articles of base metal,83,59,67720672,21203080
aus,Australia,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",64,50,28636108,145400958
aus,Australia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",53,73,25060538,13709320
aus,Australia,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",41,60,2629045,19016
aus,Australia,rus,Russian Federation,01,Live animals and animal products,58,18,8441084,208148842
aus,Australia,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",43,44,11093965,23876210
aus,Australia,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",68,51,9716240,22948837
aus,Australia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",51,55,4764410,1513820
aus,Australia,rus,Russian Federation,20,Miscellaneous manufactured articles,47,52,5898395,5128212
aus,Australia,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",26,85,1590575,1595
aus,Australia,rus,Russian Federation,11,Textile and textile articles,59,57,2918362,17154283
aus,Australia,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",110,66,1582532,179322
aus,Australia,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",76,57,3903447,13258136
aus,Australia,rus,Russian Federation,19,"Arms and ammunition, parts and accessories thereof",52,36,115491,0
aus,Australia,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",22,35,696341,118029
aus,Australia,rus,Russian Federation,02,Vegetable products,108,106,5268601,401450
aus,Australia,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",67,18,33174,37326371
aus,Australia,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,54,36,3097144,1881428
aus,Australia,rus,Russian Federation,99,NA,50,5,1936150,1021048007
aut,Austria,rus,Russian Federation,05,Mineral products,44,38,2307000881,38840434
aut,Austria,rus,Russian Federation,15,Base metals and articles of base metal,37,12,1172440798,1095140761
aut,Austria,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",28,14,230588618,33764717
aut,Austria,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",29,16,102423208,199403152
aut,Austria,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",37,31,103121524,300036460
aut,Austria,rus,Russian Federation,06,Product of the chemicals or allied industries,73,9,132757914,3668710471
aut,Austria,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",11,31,21840918,9745900
aut,Austria,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",42,19,136950694,3538047800
aut,Austria,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",41,26,64706392,649005355
aut,Austria,rus,Russian Federation,01,Live animals and animal products,52,51,11700992,15689168
aut,Austria,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",56,19,21008597,639053301
aut,Austria,rus,Russian Federation,02,Vegetable products,96,27,22227691,465134832
aut,Austria,rus,Russian Federation,20,Miscellaneous manufactured articles,16,21,44422151,152274637
aut,Austria,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",42,17,11846000,116624853
aut,Austria,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",37,21,4268219,13003920
aut,Austria,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,47,31,6049283,5241310
aut,Austria,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",31,19,17161055,350200920
aut,Austria,rus,Russian Federation,11,Textile and textile articles,45,29,6428280,188588830
aut,Austria,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",10,7,7349306,21456158
aut,Austria,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",34,16,851469,88979162
aut,Austria,rus,Russian Federation,19,"Arms and ammunition, parts and accessories thereof",49,4,212261,26654563
aut,Austria,rus,Russian Federation,99,NA,18,12,260771293,378713676
aze,Azerbaijan,rus,Russian Federation,02,Vegetable products,6,6,1545332579,2232283493
aze,Azerbaijan,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",4,44,1106609219,149731070
aze,Azerbaijan,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",6,66,660294311,3169337
aze,Azerbaijan,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",10,51,864522444,468825
aze,Azerbaijan,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,11,61,325399015,51367
aze,Azerbaijan,rus,Russian Federation,05,Mineral products,59,17,870887130,234117627
aze,Azerbaijan,rus,Russian Federation,15,Base metals and articles of base metal,30,41,1464057597,151345277
aze,Azerbaijan,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",6,63,250504244,695047
aze,Azerbaijan,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",12,61,633653928,24227165
aze,Azerbaijan,rus,Russian Federation,06,Product of the chemicals or allied industries,31,60,815309966,31305624
aze,Azerbaijan,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",12,49,275537056,4768142
aze,Azerbaijan,rus,Russian Federation,20,Miscellaneous manufactured articles,11,61,59436226,1424445
aze,Azerbaijan,rus,Russian Federation,01,Live animals and animal products,20,40,160188031,41906379
aze,Azerbaijan,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",25,41,223183015,83456716
aze,Azerbaijan,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",25,55,26567567,7962669
aze,Azerbaijan,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",19,58,2219098,521458
aze,Azerbaijan,rus,Russian Federation,11,Textile and textile articles,24,33,23961681,120704266
aze,Azerbaijan,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",42,62,520049,311858
aze,Azerbaijan,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",55,72,312008,3994
aze,Azerbaijan,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",46,28,44611,421472
aze,Azerbaijan,rus,Russian Federation,99,NA,34,35,17247676,6012494
bhs,Bahamas,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",142,103,70,0
bhr,Bahrain,rus,Russian Federation,05,Mineral products,85,113,102638077,0
bhr,Bahrain,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",57,120,18593334,2127
bhr,Bahrain,rus,Russian Federation,01,Live animals and animal products,63,113,4451693,0
bhr,Bahrain,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",89,105,1914162,0
bhr,Bahrain,rus,Russian Federation,15,Base metals and articles of base metal,103,74,10565462,2112844
bhr,Bahrain,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",106,101,2444093,305
bhr,Bahrain,rus,Russian Federation,06,Product of the chemicals or allied industries,119,77,4875358,6332796
bhr,Bahrain,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",81,86,8774497,711112
bhr,Bahrain,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",110,63,496445,6538223
bhr,Bahrain,rus,Russian Federation,20,Miscellaneous manufactured articles,69,58,785998,2333653
bhr,Bahrain,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",112,97,111301,4762
bhr,Bahrain,rus,Russian Federation,02,Vegetable products,120,125,850135,0
bhr,Bahrain,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",93,102,2639576,15779
bhr,Bahrain,rus,Russian Federation,11,Textile and textile articles,83,124,202236,0
bhr,Bahrain,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",68,102,38866,0
bhr,Bahrain,rus,Russian Federation,99,NA,76,88,159785,7446
bhr,Bahrain,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",64,77,2241874,42394
bhr,Bahrain,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",84,76,4687,26853
blr,Belarus,rus,Russian Federation,05,Mineral products,9,4,44249088500,1472535500
blr,Belarus,rus,Russian Federation,15,Base metals and articles of base metal,5,5,11145168100,4569484000
blr,Belarus,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",2,5,3971626000,7809087400
blr,Belarus,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",1,7,9639406200,8601471300
blr,Belarus,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",1,3,4897837300,4503466000
blr,Belarus,rus,Russian Federation,20,Miscellaneous manufactured articles,2,4,1163077000,1992788700
blr,Belarus,rus,Russian Federation,06,Product of the chemicals or allied industries,5,13,5406112200,3140153900
blr,Belarus,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,8,2,510304400,450884900
blr,Belarus,rus,Russian Federation,99,NA,7,3,1784290000,1632524800
blr,Belarus,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",2,1,3383354500,4403240600
blr,Belarus,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",4,6,1449486900,669567200
blr,Belarus,rus,Russian Federation,02,Vegetable products,8,7,1524265000,2182026800
blr,Belarus,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",2,3,949251400,1352644600
blr,Belarus,rus,Russian Federation,01,Live animals and animal products,6,1,748139700,13396668600
blr,Belarus,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",1,6,471555500,498201900
blr,Belarus,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",2,6,257901500,211860900
blr,Belarus,rus,Russian Federation,11,Textile and textile articles,1,3,1668088500,4138425400
blr,Belarus,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",1,8,903922700,1054525600
blr,Belarus,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",18,1,507032300,1151523500
blr,Belarus,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",13,30,2602200,393500
bel,Belgium,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",2,14,13258416371,95546668
bel,Belgium,rus,Russian Federation,05,Mineral products,24,11,12674896143,442803362
bel,Belgium,rus,Russian Federation,15,Base metals and articles of base metal,12,17,5302611714,747385233
bel,Belgium,rus,Russian Federation,06,Product of the chemicals or allied industries,13,7,1842971296,5442537889
bel,Belgium,rus,Russian Federation,02,Vegetable products,23,36,456359431,226961779
bel,Belgium,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",22,10,439793490,60832251
bel,Belgium,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",41,9,93690697,1505614676
bel,Belgium,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",15,19,128114851,100982938
bel,Belgium,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",51,23,61522280,2430049304
bel,Belgium,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",36,14,116340756,741719616
bel,Belgium,rus,Russian Federation,01,Live animals and animal products,37,47,30793223,20639882
bel,Belgium,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",45,20,60860641,134037068
bel,Belgium,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",52,21,31725769,1029880985
