ccode1,country,year,IdealPointDistance
500,CHN,2017,0.7256642
501,RUS,2017,0.8549812
501,CHN,2017,0.3801701
510,RUS,2017,0.8918369
510,CHN,2017,0.4170258
516,RUS,2017,1.6940863
516,CHN,2017,1.2192752
517,RUS,2017,0.2844787
517,CHN,2017,0.1903324
520,RUS,2017,0.6984742
520,CHN,2017,0.2236631
522,RUS,2017,0.7664253
522,CHN,2017,0.2916142
530,RUS,2017,0.6294613
530,CHN,2017,0.1546502
531,RUS,2017,0.8874094
531,CHN,2017,0.4125983
540,RUS,2017,0.6780545
540,CHN,2017,0.2032434
541,RUS,2017,0.8618496
541,CHN,2017,0.3870385
551,RUS,2017,0.8370558
551,CHN,2017,0.3622447
552,RUS,2017,2.0610133
552,CHN,2017,1.5862022
553,RUS,2017,0.594691
553,CHN,2017,0.1198799
560,RUS,2017,0.5626036
560,CHN,2017,0.0877925
565,RUS,2017,0.8978995
565,CHN,2017,0.4230884
570,RUS,2017,0.8419444
570,CHN,2017,0.3671333
571,RUS,2017,0.5181075
571,CHN,2017,0.0432964
572,RUS,2017,0.8578418
572,CHN,2017,0.3830307
580,RUS,2017,0.6517024
580,CHN,2017,0.1768913
581,RUS,2017,0.7090225
581,CHN,2017,0.2342114
590,RUS,2017,0.8056517
590,CHN,2017,0.3308406
591,RUS,2017,0.5014943
591,CHN,2017,0.0266832
600,RUS,2017,0.4823145
600,CHN,2017,0.00750339999999999
615,RUS,2017,1.08341
615,CHN,2017,0.6085989
616,RUS,2017,0.8280422
616,CHN,2017,0.3532311
620,RUS,2017,0.9147772
620,CHN,2017,0.4399661
625,RUS,2017,1.4042203
625,CHN,2017,0.9294092
626,RUS,2017,0.6143643
626,CHN,2017,1.0891754
630,RUS,2017,1.6883453
630,CHN,2017,1.2135342
640,RUS,2017,0.5596872
640,CHN,2017,1.0344983
645,RUS,2017,0.9292065
645,CHN,2017,0.4543954
651,RUS,2017,1.1229603
651,CHN,2017,0.6481492
652,RUS,2017,1.9791863
652,CHN,2017,1.5043752
660,RUS,2017,1.1753503
660,CHN,2017,0.7005392
663,RUS,2017,0.8400067
663,CHN,2017,0.3651956
666,RUS,2017,2.3683937
666,CHN,2017,2.8432048
670,RUS,2017,0.7304661
670,CHN,2017,0.255655
679,RUS,2017,0.7255075
679,CHN,2017,0.2506964
690,RUS,2017,0.9126317
690,CHN,2017,0.4378206
692,RUS,2017,0.7462501
692,CHN,2017,0.271439
694,RUS,2017,0.7182487
694,CHN,2017,0.2434376
696,RUS,2017,0.5623324
696,CHN,2017,0.0875213
698,RUS,2017,1.1421343
698,CHN,2017,0.6673232
700,RUS,2017,1.0589616
700,CHN,2017,0.5841505
701,RUS,2017,0.9791034
701,CHN,2017,0.5042923
702,RUS,2017,0.7887745
702,CHN,2017,0.3139634
703,RUS,2017,0.7281903
703,CHN,2017,0.2533792
704,RUS,2017,0.3511868
704,CHN,2017,0.1236243
705,RUS,2017,0.6582999
705,CHN,2017,0.1834888
710,RUS,2017,0.4748111
712,RUS,2017,0.6531004
712,CHN,2017,0.1782893
731,RUS,2017,0.317902
731,CHN,2017,0.1569091
732,RUS,2017,0.8518386
732,CHN,2017,1.3266497
740,RUS,2017,0.5404523
740,CHN,2017,1.0152634
750,RUS,2017,0.3054003
750,CHN,2017,0.1694108
760,RUS,2017,0.7700542
760,CHN,2017,0.2952431
770,RUS,2017,0.3336001
770,CHN,2017,0.141211
771,RUS,2017,0.8460215
771,CHN,2017,0.3712104
775,RUS,2017,0.8077207
775,CHN,2017,0.33290960000000003
780,RUS,2017,0.8203995
780,CHN,2017,0.3455884
781,RUS,2017,0.7290152
781,CHN,2017,0.2542041
790,RUS,2017,0.8924099
790,CHN,2017,0.4175988
800,RUS,2017,0.6769146
800,CHN,2017,0.2021035
811,RUS,2017,1.1425593
811,CHN,2017,0.6677482
812,RUS,2017,1.2898113
812,CHN,2017,0.8150002
816,RUS,2017,1.05889
816,CHN,2017,0.5840789
820,RUS,2017,0.8401231
820,CHN,2017,0.365312
830,RUS,2017,0.859219
830,CHN,2017,0.3844079
835,RUS,2017,1.038323
835,CHN,2017,0.5635119
840,RUS,2017,0.9035206
840,CHN,2017,0.4287095
850,RUS,2017,1.1365603
850,CHN,2017,0.6617492
860,RUS,2017,0.5380754
860,CHN,2017,0.0632643
900,RUS,2017,1.1102737
900,CHN,2017,1.5850848
910,RUS,2017,0.2286247
910,CHN,2017,0.2461864
920,RUS,2017,0.529393
920,CHN,2017,1.0042041
935,RUS,2017,0.20691388
935,CHN,2017,0.26789722
940,RUS,2017,0.06659301
940,CHN,2017,0.40821809
946,RUS,2017,0.5616458
946,CHN,2017,0.0868347
947,RUS,2017,0.04878364
947,CHN,2017,0.42602746
950,RUS,2017,0.5357001
950,CHN,2017,0.060889
955,RUS,2017,0.05673258
955,CHN,2017,0.41807852
970,RUS,2017,0.2773822
970,CHN,2017,0.7521933
983,RUS,2017,0.8337002
983,CHN,2017,1.3085113
986,RUS,2017,0.5501972
986,CHN,2017,1.0250083
987,RUS,2017,1.4155967
987,CHN,2017,1.8904078
990,RUS,2017,0.2442677
990,CHN,2017,0.2305434
2,RUS,2018,2.5829932
2,CHN,2018,3.1803966
20,RUS,2018,1.2705752
20,CHN,2018,1.8679786
31,RUS,2018,0.3907216
31,CHN,2018,0.2066818
40,RUS,2018,1.8439768
40,CHN,2018,1.2465734
41,RUS,2018,0.00832864
41,CHN,2018,0.58907476
42,RUS,2018,0.3964998
42,CHN,2018,0.2009036
51,RUS,2018,0.5908619
51,CHN,2018,0.00654150000000003
52,RUS,2018,0.7249897
52,CHN,2018,0.1275863
53,RUS,2018,0.4090241
53,CHN,2018,0.1883793
54,RUS,2018,0.6941244
54,CHN,2018,0.0967209999999999
55,RUS,2018,0.5268142
55,CHN,2018,0.0705892
56,RUS,2018,0.6202131
56,CHN,2018,0.0228096999999999
