reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,HS2,imp_sum_hs2,exp_sum_hs2_5yr,imp_rank_hs2_5yr,imp_rank_hs2_5yr
dza,Algeria,rus,Russian Federation,02,Vegetable products,08,0,11022033,74,43
and,Andorra,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",71,125732,313,61,82
and,Andorra,rus,Russian Federation,11,Textile and textile articles,62,33745,146406,73,70
and,Andorra,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",22,76857,0,106,98
and,Andorra,rus,Russian Federation,99,NA,99,15890,0,95,98
and,Andorra,rus,Russian Federation,20,Miscellaneous manufactured articles,95,12427,1874,93,77
and,Andorra,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",69,999,0,106,91
and,Andorra,rus,Russian Federation,20,Miscellaneous manufactured articles,94,1339,0,128,103
and,Andorra,rus,Russian Federation,15,Base metals and articles of base metal,83,788,0,114,85
and,Andorra,rus,Russian Federation,15,Base metals and articles of base metal,73,535,0,141,103
and,Andorra,rus,Russian Federation,11,Textile and textile articles,61,563,62816,112,74
and,Andorra,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,375,0,141,97
and,Andorra,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,159,162,140,99
and,Andorra,rus,Russian Federation,15,Base metals and articles of base metal,82,416,0,130,96
and,Andorra,rus,Russian Federation,20,Miscellaneous manufactured articles,96,1383,870,97,79
and,Andorra,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",92,43,0,93,66
and,Andorra,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",91,50,0,95,69
and,Andorra,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,16,0,139,88
and,Andorra,rus,Russian Federation,06,Product of the chemicals or allied industries,30,0,82,138,86
and,Andorra,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,21362,270,141,113
and,Andorra,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",97,0,1093,97,78
and,Andorra,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",42,0,37877,123,60
and,Andorra,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",85,1049,4129,146,103
and,Andorra,rus,Russian Federation,06,Product of the chemicals or allied industries,33,190,123949,128,68
and,Andorra,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",64,1449,108341,97,64
and,Andorra,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",43,0,10685,60,47
ago,Angola,rus,Russian Federation,99,NA,99,397198325,368,15,95
ago,Angola,rus,Russian Federation,05,Mineral products,27,198507721,0,80,91
ago,Angola,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,32228639,3557615,50,70
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,31,26123480,0,81,51
ago,Angola,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",85,4825111,50560,76,91
ago,Angola,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,3998412,112213,66,76
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,73,3453681,197433,62,73
ago,Angola,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,1510663,7411,82,84
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,38,3618088,0,58,87
ago,Angola,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",48,943394,507,112,87
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,28,5097522,117872,89,69
ago,Angola,rus,Russian Federation,01,Live animals and animal products,02,3838354,0,17,59
