country,mean_total_rai
Ukraine,1307.598583
Azerbaijan,483.109934
Kazakhstan,348.9145502
Moldova,282.1738267
Georgia,257.8349961
Belarus,238.2333423
Uzbekistan,224.8741019
Kyrgyzstan,215.2532736
Mali,172.9377106
Armenia,171.3383935
Ethiopia,158.8537193
Hungary,146.3475875
Peru,134.3148639
Niger,123.159243
Burkina Faso,100.6357569
Serbia,100.4384691
Turkey,87.13511306
Macedonia,81.18733194
Nicaragua,71.88794479
Kosovo,69.24187278
Mozambique,64.13267054
Cameroon,62.358898
Algeria,57.43148627
Senegal,50.03263798
South Sudan,49.56330523
Zambia,46.14176721
South Africa,45.41076939
Rwanda,45.06121371
Benin,41.64389695
Angola,39.663425
Albania,37.96741578
Uganda,36.80543833
Cambodia,30.8574895
Pakistan,29.70258508
DR Congo,26.66865813
Mauritania,25.94611382
Namibia,25.83542374
Kenya,25.23202914
Nepal,25.2266749
India,24.18502042
Liberia,23.66185396
Morocco,19.93039817
Bangladesh,17.58966429
Tanzania,13.83828384
Jamaica,13.62458097
Zimbabwe,12.98777167
Indonesia,12.98266392
Tunisia,12.72072158
Ghana,12.41418965
Nigeria,12.30838397
Philippines,12.28638481
Malaysia,12.2149565
Malawi,11.22870996
Ecuador,10.35238016
Guatemala,10.25103149
Colombia,8.901150035
Sri Lanka,7.187720139
El Salvador,6.706226138
Honduras,4.59626456
Paraguay,2.59203051
