reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,HS2,imp_sum_hs2,exp_sum_hs2_5yr,imp_rank_hs2_5yr,exp_rank_hs2_5yr,tbal_HS2_5yr,import_factor,export_factor,trade_share,impTop5,expTop5,impTop10,expTop10,mean_total_rai
dza,Algeria,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,3350479,0,68,97,-3350479,1,0,0.0016737637575588342,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,31,7835639,0,103,51,-7835639,1,0,0.003914368236754967,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,28,9835649,0,76,85,-9835649,1,0,0.004913492318044611,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,3235808,0,69,109,-3235808,1,0,0.0016164787652210135,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,20495514,10626,56,102,-20484888,0.9994818137396897,5.181862603103266e-4,0.010244037923958787,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,38,5566416,0,50,87,-5566416,1,0,0.0027807562322568254,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",85,177185588,1160595,19,69,-176024993,0.9934924595498632,0.006507540450136799,0.0890945376480066,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,74,975164,0,65,84,-975164,1,0,4.871524820409568e-4,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,11,Textile and textile articles,56,2184567,0,33,77,-2184567,1,0,0.0010913212918388772,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,05,Mineral products,25,1386758,78,69,89,-1386680,0.9999437568681516,5.624313184832237e-5,6.928071581639113e-4,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,92181856,0,16,96,-92181856,1,0,0.0460503258421579,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,29,1237632,0,89,81,-1237632,1,0,6.182708761329514e-4,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,33,2167750,0,53,95,-2167750,1,0,0.0010829201990068176,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,78,188348,0,48,44,-188348,1,0,9.409104077616702e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",44,418087,0,104,103,-418087,1,0,2.0885935059031867e-4,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,02,Vegetable products,11,444444,0,56,71,-444444,1,0,2.2202624146113988e-4,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,32,2550816,0,33,80,-2550816,1,0,0.0012742844748470875,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",49,671883,0,47,109,-671883,1,0,3.356455643267432e-4,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,02,Vegetable products,09,141807,0,53,110,-141807,1,0,7.084104009251978e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,34,163431,0,79,87,-163431,1,0,8.164351564704564e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",17,73915,645,82,80,-73270,0.9913492489270386,0.008650751072961373,3.724715951468034e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,132881,0,87,88,-132881,1,0,6.63819716130665e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,30,39618,0,109,91,-39618,1,0,1.979154996851671e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,02,Vegetable products,12,87246,717493,72,50,630247,0.10841527501463208,0.8915847249853679,4.020150469512385e-4,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",90,1307059,1001,76,98,-1306058,0.9992347445835817,7.652554164182072e-4,6.534538556165876e-4,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",68,29013,0,95,85,-29013,1,0,1.4493721016623132e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,11,Textile and textile articles,62,5102,0,98,105,-5102,1,0,2.548752787605943e-6,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,83,106275,0,61,85,-106275,1,0,5.309069041607636e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,11,Textile and textile articles,63,6051,0,103,108,-6051,1,0,3.022834793767848e-6,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,01,Live animals and animal products,03,2715,0,97,77,-2715,1,0,1.3563041588298971e-6,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,76,101659,0,100,92,-101659,1,0,5.0784723566294114e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,20,Miscellaneous manufactured articles,96,134,0,119,90,-134,1,0,6.694097874151242e-8,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,81,2312,0,76,59,-2312,1,0,1.1549816630625128e-6,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,20,Miscellaneous manufactured articles,94,22942,0,103,103,-22942,1,0,1.1460895031998342e-5,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,05,Mineral products,26,0,43,65,62,43,0,1,2.1481060342425627e-8,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,02,Vegetable products,08,0,11022033,74,43,11022033,0,1,0.005506161766725734,0,0,0,0,57.43148627
ago,Angola,rus,Russian Federation,99,NA,99,397198325,368,15,95,-397197957,0.9999990735115536,9.264884464259806e-7,0.49702066289871044,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,05,Mineral products,27,198507721,0,80,91,-198507721,1,0,0.24839567909135155,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,32228639,3557615,50,70,-28671024,0.9005871081113994,0.09941289188860059,0.04477987465518077,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,31,26123480,0,81,51,-26123480,1,0,0.03268870108497866,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",85,4825111,50560,76,91,-4774551,0.9896301452661592,0.010369854733840738,0.0061010000163722045,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,3998412,112213,66,76,-3886199,0.9727017181085601,0.027298281891439867,0.0051436865186966045,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,73,3453681,197433,62,73,-3256248,0.9459252710268702,0.05407472897312984,0.004568693534444139,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,1510663,7411,82,84,-1503252,0.9951181562954111,0.004881843704588841,0.0018995886922752209,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,38,3618088,0,58,87,-3618088,1,0,0.004527367606886535,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",48,943394,507,112,87,-942887,0.9994628673981699,5.371326018300648e-4,0.0011811174331602236,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,28,5097522,117872,89,69,-4979650,0.9773992147093776,0.022600785290622337,0.006526100485325506,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,01,Live animals and animal products,02,3838354,0,17,59,-3838354,1,0,0.004802989745789311,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",90,1171579,1474655,78,64,303076,0.4427344671710816,0.5572655328289183,0.0033112721669129614,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,82,1155472,42627,59,69,-1112845,0.9644211371514374,0.0355788628485626,0.0014991991909658225,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,808797,8968,91,91,-799829,0.9890335243009911,0.010966475699008884,0.0010232815705548254,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,234036,890,80,74,-233146,0.9962115730059679,0.003788426994032163,2.9396641607816785e-4,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,32,51123,0,92,80,-51123,1,0,6.397097421811197e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,11,Textile and textile articles,62,112278,3262,62,87,-109016,0.9717673532975593,0.028232646702440713,1.4457692938913322e-4,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,20,Miscellaneous manufactured articles,94,657378,88838,63,72,-568540,0.8809486797388424,0.11905132026115763,9.33751237156322e-4,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",64,53565,893,58,80,-52672,0.9836020419405781,0.01639795805942194,6.814410957827087e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,83,39584,9,76,83,-39575,0.9997726870911525,2.2731290884752355e-4,4.954331283801239e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",65,14435,64,47,78,-14371,0.9955859024760328,0.0044140975239671705,1.8142815468348992e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",68,860029,0,61,85,-860029,1,0,0.0010761671456258166,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,11,Textile and textile articles,59,27570,0,52,68,-27570,1,0,3.449875318728062e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",69,207788,8673,52,69,-199115,0.959932736151085,0.04006726384891505,2.7086088551584874e-4,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",49,16597641,3415,12,75,-16594226,0.9997942901945515,2.0570980544852086e-4,0.020773149568089375,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,72,1650962,180,106,72,-1650782,0.9998909845428194,1.0901545718054535e-4,0.002066098670117987,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,11,Textile and textile articles,63,63434,18451,75,80,-44983,0.7746717958111986,0.22532820418880137,1.0246392472761964e-4,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,21,"Works of art, collectors' pieces and antiques",97,3682,216,73,84,-3466,0.9445869676757311,0.055413032324268856,4.877625677331152e-6,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,76,32895,4,106,91,-32891,0.9998784157573178,1.2158424268214839e-4,4.116701055888085e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,20,Miscellaneous manufactured articles,95,7128,2810,100,75,-4318,0.7172469309720265,0.2827530690279734,1.243556797878835e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,75,1330,88,73,48,-1242,0.9379407616361072,0.06205923836389281,1.77436459991164e-6,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",42,13026,7036,68,70,-5990,0.6492872096500847,0.35071279034991526,2.510388053838316e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,74,2625,2738,90,76,113,0.4894648517620735,0.5105351482379266,6.710802079919694e-6,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,11,Textile and textile articles,57,5163,497,60,68,-4666,0.912190812720848,0.08780918727915195,7.082442620239692e-6,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,33,3713,87,115,92,-3626,0.9771052631578947,0.022894736842105263,4.754996812175058e-6,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,11,Textile and textile articles,52,1955,150,63,64,-1805,0.9287410926365796,0.07125890736342043,2.6340179709548677e-6,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,11,Textile and textile articles,61,61391,1106,59,96,-60285,0.9823031505512264,0.01769684944877354,7.820343046592226e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",91,711,55,77,64,-656,0.9281984334203656,0.07180156657963446,9.58507252138446e-7,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,20,Miscellaneous manufactured articles,96,416635,2973,40,74,-413662,0.9929148157327792,0.0070851842672208344,5.250617637797768e-4,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,35,48,0,92,73,-48,1,0,6.006311762747442e-8,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,06,Product of the chemicals or allied industries,34,13374,81,104,83,-13293,0.9939799331103679,0.006020066889632107,1.6836442659951425e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",44,39521,5414,120,85,-34107,0.8795148547902526,0.12048514520974742,5.6227837303970064e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,11,Textile and textile articles,56,8705,462,79,71,-8243,0.9496018326606305,0.05039816733936948,1.1470804151897042e-5,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,05,Mineral products,25,108371,1137,91,83,-107234,0.9896171969171202,0.01038280308287979,1.370289976072806e-4,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",92,327,1549,85,57,1222,0.17430703624733476,0.8256929637526652,2.347466847273792e-6,0,0,0,0,39.663425
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,81,0,5519,79,51,5519,0,1,6.906007212208986e-6,0,0,0,0,39.663425
arm,Armenia,rus,Russian Federation,05,Mineral products,27,2459244297,4315122,42,45,-2454929175,0.998248419759345,0.0017515802406550358,0.264017714463255,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,02,Vegetable products,10,366423090,5745,19,53,-366417345,0.9999843216487043,1.5678351295688836e-5,0.03926988843216255,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,15,Base metals and articles of base metal,76,320297513,2983386,25,44,-317314127,0.9907715364278296,0.009228463572170406,0.03464575825747777,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,14,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",71,234964716,281151191,19,6,46186475,0.45525571448817986,0.5447442855118201,0.05531173354835566,0,0,0,1,171.3383935
arm,Armenia,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,15,188463618,54648,16,60,-188408970,0.9997101182757537,2.89881724246286e-4,0.020203353464922438,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",22,96346587,947010397,9,3,850663810,0.09234287830290691,0.9076571216970931,0.11181574276652546,0,1,1,1,171.3383935
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",18,119362441,41420877,10,19,-77941564,0.7423807549487192,0.25761924505128075,0.017231021023803743,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,137350184,11253197,10,52,-126096987,0.9242736139361459,0.0757263860638541,0.015925706808832728,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",85,239745065,49626275,13,49,-190118790,0.8285031440916022,0.17149685590839783,0.03101169763909376,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,81808073,1608951,12,42,-80199122,0.9807119587483725,0.019288041251627485,0.008939736486139323,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",24,79869648,40552249,7,13,-39317399,0.6632485452375825,0.3367514547624175,0.012905519457766936,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,11,Textile and textile articles,55,25485101,2950036,3,32,-22535065,0.8962538495946054,0.10374615040539456,0.003047371142457327,1,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,67327281,5400207,37,50,-61927074,0.9257473735377744,0.07425262646222568,0.00779414736755485,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",21,76876942,11535376,9,41,-65341566,0.8695275018125868,0.13047249818741322,0.00947507819325648,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,02,Vegetable products,12,28095205,519355,14,52,-27575850,0.9818499742788287,0.01815002572117132,0.0030665997634586294,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,15,Base metals and articles of base metal,72,164793419,24629703,61,36,-140163716,0.869975202921637,0.130024797078363,0.020300326166776465,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,34,43210451,2381224,10,47,-40829227,0.9477706401442807,0.052229359855719276,0.004886023750520109,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",17,62800382,2450724,9,36,-60349658,0.9624416481155124,0.0375583518844876,0.006992909421812321,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,15,Base metals and articles of base metal,73,127291192,9676198,18,50,-117614994,0.9293540017079978,0.0706459982920022,0.014678686856465584,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",44,92969352,1150681,39,44,-91818671,0.98777432430352,0.012225675696480047,0.01008676949547777,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,28,14241792,1796816,68,54,-12444976,0.8879693300066939,0.11203066999330616,0.001718844934152602,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,274776145,46436033,17,54,-228340112,0.8554350171617715,0.1445649828382285,0.034424055064094336,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",19,91409054,1538132,9,50,-89870922,0.983451548495508,0.016548451504492023,0.009961076410112377,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",90,39650526,79909543,17,35,40259017,0.33163686113295904,0.668363138867041,0.012813158032641334,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,30,56558623,58479789,10,36,1921166,0.4916498934286402,0.5083501065713598,0.012328575628206632,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,02,Vegetable products,11,52222745,452268,10,30,-51770477,0.9914139935760433,0.00858600642395665,0.005645139481647812,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,31,50773251,17892,71,40,-50755359,0.99964773385785,3.522661421500201e-4,0.0054432466237325835,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",69,28715387,4509354,10,33,-24206033,0.864277226419914,0.135722773580086,0.003560669214958197,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,20,Miscellaneous manufactured articles,96,20301544,1452963,8,45,-18848581,0.9332109433691143,0.06678905663088573,0.002331413309181029,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,06,Product of the chemicals or allied industries,33,74127220,10050239,9,40,-64076981,0.8806065291184425,0.1193934708815575,0.00902123170364837,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",48,87223047,1088057,26,53,-86134990,0.987679273039096,0.012320726960904032,0.00946423116892835,0,0,0,0,171.3383935
arm,Armenia,rus,Russian Federation,01,Live animals and animal products,04,32715340,55534378,6,15,22819038,0.37071325259079013,0.6292867474092099,0.00945765247985958,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,20,Miscellaneous manufactured articles,95,6634967,1024693,9,51,-5610274,0.8662221299639932,0.13377787003600683,8.208797040448473e-4,0,0,1,0,171.3383935
arm,Armenia,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",23,41884735,1169851,23,42,-40714884,0.9728286552331499,0.027171344766850156,0.004614125929016879,0,0,0,0,171.3383935
