reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,HS2,imp_sum_hs2,exp_sum_hs2_5yr,imp_rank_hs2_5yr,exp_rank_hs2_5yr,tbal_HS2_5yr,import_factor,export_factor,trade_share,impTop5,expTop5,impTop10,expTop10,mean_total_rai
alb,Albania,rus,Russian Federation,99,NA,99,276085188,2876409,17,42,-273208779,0.9896888710455727,0.010311128954427371,0.5181693002135614,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,02,Vegetable products,10,145961276,0,44,65,-145961276,1,0,0.2711220937095456,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,05,Mineral products,27,71064515,0,87,91,-71064515,1,0,0.1320018612008668,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,15,Base metals and articles of base metal,76,14067248,0,60,92,-14067248,1,0,0.02612981905208487,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,06,Product of the chemicals or allied industries,31,19715122,0,90,51,-19715122,1,0,0.03662070722360035,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,1524622,0,55,88,-1524622,1,0,0.0028319751654927628,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,15,Base metals and articles of base metal,72,267052,0,115,74,-267052,1,0,4.960473034595942e-4,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",44,751395,0,97,103,-751395,1,0,0.0013957111857728897,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,203073,0,129,117,-203073,1,0,3.7720673897012624e-4,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,157731,0,116,96,-157731,1,0,2.929842773017436e-4,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,353856,0,96,97,-353856,1,0,6.572851527530148e-4,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,83631,0,113,109,-83631,1,0,1.5534402302034553e-4,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,02,Vegetable products,12,8430,0,83,98,-8430,1,0,1.565866860448294e-5,0,0,0,0,37.96741578
alb,Albania,rus,Russian Federation,20,Miscellaneous manufactured articles,95,0,116041,130,64,116041,0,1,2.1554538120199346e-4,0,0,0,0,37.96741578
dza,Algeria,rus,Russian Federation,05,Mineral products,27,272218459,34225,73,79,-272184234,0.9998742895772517,1.2571042274830244e-4,0.13600642635793805,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,15,373311108,2728,9,78,-373308380,0.9999926924755074,7.307524492609484e-6,0.1864924892506601,0,0,1,0,57.43148627
dza,Algeria,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",88,116976625,1370831,12,44,-115605794,0.9884168950788431,0.011583104921156903,0.05912160101647818,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,72,593766506,0,29,74,-593766506,1,0,0.2966217242952844,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,02,Vegetable products,10,64943498,0,63,65,-64943498,1,0,0.03244314417177205,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,02,Vegetable products,07,13684757,449,25,82,-13684308,0.999967190848278,3.280915172193974e-5,0.006836575253128494,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,82,11253145,0,17,96,-11253145,1,0,0.005621615971792214,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,73,17174226,0,42,103,-17174226,1,0,0.008579548489312909,0,0,0,0,57.43148627
dza,Algeria,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",48,8716893,1141,77,83,-8715752,0.9998691218685314,1.3087813146863157e-4,0.004355177079565541,0,0,0,0,57.43148627
